J,SIGMA/J,ALPHA(2),ALPHA(4)
15,0.7,2.56743e-01,3.37479e-02
15,0.8,2.02699e-01,2.05978e-02
15,0.9,1.63430e-01,1.32021e-02
15,1.0,1.34245e-01,8.81990e-03
15,1.1,1.12071e-01,6.10263e-03
15,1.2,9.48810e-02,4.35042e-03
15,1.3,8.13112e-02,3.18170e-03
15,1.4,7.04260e-02,2.37902e-03
15,1.5,6.15691e-02,1.81349e-03
15,1.6,5.42708e-02,1.40603e-03
15,1.7,4.81887e-02,1.10659e-03
15,1.8,4.30686e-02,8.82632e-04
15,1.9,3.87190e-02,7.12473e-04
15,2.0,3.49935e-02,5.81350e-04
16,0.1,9.71765e-01,9.08599e-01
16,0.2,8.87060e-01,6.71875e-01
16,0.3,7.47747e-01,3.99297e-01
16,0.4,5.81927e-01,2.07806e-01
16,0.5,4.38090e-01,1.07286e-01
16,0.6,3.31551e-01,5.82074e-02
16,0.7,2.55928e-01,3.35659e-02
16,0.8,2.02033e-01,2.04850e-02
16,0.9,1.62882e-01,1.31292e-02
16,1.0,1.33789e-01,8.77099e-03
16,1.1,1.11687e-01,6.06870e-03
16,1.2,9.45539e-02,4.32619e-03
16,1.3,8.10296e-02,3.16396e-03
16,1.4,7.01812e-02,2.36575e-03
16,1.5,6.13545e-02,1.80337e-03
16,1.6,5.40813e-02,1.39818e-03
16,1.7,4.80201e-02,1.10041e-03
16,1.8,4.29177e-02,8.77705e-04
16,1.9,3.85832e-02,7.08496e-04
16,2.0,3.48706e-02,5.78105e-04
17,0.1,9.71667e-01,9.08336e-01
17,0.2,8.86667e-01,6.71051e-01
17,0.3,7.46911e-01,3.98234e-01
17,0.4,5.80837e-01,2.07015e-01
17,0.5,4.37048e-01,1.06812e-01
17,0.6,3.30668e-01,5.79325e-02
17,0.7,2.55204e-01,3.34023e-02
17,0.8,2.01443e-01,2.03836e-02
17,0.9,1.62396e-01,1.30636e-02
17,1.0,1.33385e-01,8.72698e-03
17,1.1,1.11347e-01,6.03816e-03
17,1.2,9.42637e-02,4.30438e-03
17,1.3,8.07797e-02,3.14799e-03
17,1.4,6.99640e-02,2.35380e-03
17,1.5,6.11641e-02,1.79426e-03
17,1.6,5.39130e-02,1.39111e-03
17,1.7,4.78704e-02,1.09485e-03
17,1.8,4.27837e-02,8.73265e-04
17,1.9,3.84626e-02,7.04912e-04
17,2.0,3.47616e-02,5.75180e-04
18,0.1,9.71579e-01,9.08098e-01
18,0.2,8.86317e-01,6.70308e-01
18,0.3,7.46164e-01,3.97277e-01
18,0.4,5.79864e-01,2.06303e-01
18,0.5,4.36118e-01,1.06384e-01
18,0.6,3.29879e-01,5.76845e-02
18,0.7,2.54558e-01,3.32547e-02
18,0.8,2.00916e-01,2.02921e-02
18,0.9,1.61962e-01,1.30044e-02
18,1.0,1.33023e-01,8.68720e-03
18,1.1,1.11042e-01,6.01054e-03
18,1.2,9.40043e-02,4.28465e-03
18,1.3,8.05563e-02,3.13354e-03
18,1.4,6.97698e-02,2.34298e-03
18,1.5,6.09939e-02,1.78601e-03
18,1.6,5.37627e-02,1.38471e-03
18,1.7,4.77367e-02,1.08981e-03
18,1.8,4.26640e-02,8.69245e-04
18,1.9,3.83549e-02,7.01666e-04
18,2.0,3.46641e-02,5.72531e-04
19,0.1,9.71500e-01,9.07882e-01
19,0.2,8.86001e-01,6.69634e-01
19,0.3,7.45492e-01,3.96410e-01
